2022-03-27 23:56:13.70 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6612)
2022-03-30 11:05:02.17 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -3542)
2022-03-30 11:05:03.17 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4965)
2022-03-30 11:05:04.17 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6529)
2022-03-30 11:05:05.12 - [ALARM] - (Sensor ID: 3, Sensor Type:depth, Value: 11)
2022-03-30 11:05:05.17 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1977)
2022-03-30 11:05:06.17 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9516)
2022-03-30 11:05:07.19 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6166)
2022-03-30 11:05:08.14 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 173)
2022-03-30 11:05:08.19 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -5328)
2022-03-30 11:05:09.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -94)
2022-03-30 11:05:10.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8412)
2022-03-30 11:05:11.14 - [ALARM] - (Sensor ID: 3, Sensor Type:depth, Value: 243)
2022-03-30 11:05:11.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -3081)
2022-03-30 11:05:12.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5425)
2022-03-30 11:05:13.20 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6069)
2022-03-30 11:05:14.14 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 59)
2022-03-30 11:05:14.22 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 9614)
2022-03-30 11:05:15.23 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5296)
2022-03-30 11:05:16.23 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6198)
2022-03-30 11:05:17.16 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 87)
2022-03-30 11:05:17.23 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2309)
2022-03-30 11:05:18.24 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9185)
2022-03-30 11:05:19.23 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -679)
2022-03-30 11:05:20.16 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 158)
2022-03-30 11:05:20.25 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4555)
2022-03-30 11:05:21.25 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6939)
2022-03-30 11:05:22.25 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1568)
2022-03-30 11:05:23.16 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 228)
2022-03-30 11:05:23.25 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9926)
2022-03-30 11:05:24.25 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1420)
2022-03-30 11:05:25.26 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -5737)
2022-03-30 11:05:26.17 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 135)
2022-03-30 11:05:26.27 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2769)
2022-03-30 11:05:27.27 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -8725)
2022-03-30 11:05:28.27 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -219)
2022-03-30 11:05:29.17 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 205)
2022-03-30 11:05:29.28 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 5015)
2022-03-30 11:05:30.28 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6478)
2022-03-30 11:05:31.28 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 2028)
2022-03-30 11:05:32.19 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 112)
2022-03-30 11:05:32.30 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -2290)
