2022-03-27 23:56:13.70 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6612)
2022-03-30 11:04:51.11 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 17)
2022-03-30 11:04:52.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 3588)
2022-03-30 11:04:53.12 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8822)
2022-03-30 11:04:53.13 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 93)
2022-03-30 11:04:54.12 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -2672)
2022-03-30 11:04:55.12 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5835)
2022-03-30 11:04:55.13 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 77)
2022-03-30 11:04:56.15 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1517)
2022-03-30 11:04:57.13 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 60)
2022-03-30 11:04:57.15 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6751)
2022-03-30 11:04:58.15 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -4743)
2022-03-30 11:04:59.14 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 83)
2022-03-30 11:04:59.15 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 3764)
2022-03-30 11:05:00.16 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -7730)
2022-03-30 11:05:01.14 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 67)
2022-03-30 11:05:01.16 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 776)
2022-03-30 11:05:02.17 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -3542)
2022-03-30 11:05:03.15 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 32)
2022-03-30 11:05:03.17 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4965)
2022-03-30 11:05:04.17 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6529)
2022-03-30 11:05:05.16 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 16)
2022-03-30 11:05:05.17 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1977)
2022-03-30 11:05:06.17 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9516)
2022-03-30 11:05:07.17 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 39)
2022-03-30 11:05:07.19 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6166)
2022-03-30 11:05:08.19 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -5328)
2022-03-30 11:05:09.17 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 23)
2022-03-30 11:05:09.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -94)
2022-03-30 11:05:10.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8412)
2022-03-30 11:05:11.17 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: 6)
2022-03-30 11:05:11.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -3081)
2022-03-30 11:05:12.20 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5425)
2022-03-30 11:05:13.17 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: -10)
2022-03-30 11:05:13.20 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6069)
2022-03-30 11:05:14.22 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 9614)
2022-03-30 11:05:15.18 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 13)
2022-03-30 11:05:15.23 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5296)
2022-03-30 11:05:16.23 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6198)
2022-03-30 11:05:17.19 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: -4)
2022-03-30 11:05:17.23 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2309)
2022-03-30 11:05:18.23 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9185)
2022-03-30 11:05:19.19 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 90)
2022-03-30 11:05:19.23 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -679)
2022-03-30 11:05:20.25 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4555)
2022-03-30 11:05:21.20 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 55)
2022-03-30 11:05:21.25 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6939)
2022-03-30 11:05:22.25 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1568)
2022-03-30 11:05:23.20 - [NORMAL] - (Sensor ID: 1, Sensor Type:speed, Value: 39)
2022-03-30 11:05:23.25 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -9926)
2022-03-30 11:05:24.25 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1420)
2022-03-30 11:05:25.20 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 23)
2022-03-30 11:05:25.26 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -5737)
2022-03-30 11:05:26.26 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2769)
2022-03-30 11:05:27.20 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: 6)
2022-03-30 11:05:27.27 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -8725)
2022-03-30 11:05:28.27 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -219)
2022-03-30 11:05:29.20 - [ALARM] - (Sensor ID: 1, Sensor Type:speed, Value: -10)
2022-03-30 11:05:29.28 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 5015)
2022-03-30 11:05:30.28 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6478)
2022-03-30 11:05:31.22 - [WARNING] - (Sensor ID: 1, Sensor Type:speed, Value: 13)
2022-03-30 11:05:31.28 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 2028)
2022-03-30 11:05:32.30 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -2290)
